subtotal,gst,tax,total_amount,amount_difference,duplicate,missing_fields,fraud
309596,55727,6191,371514,0,0,0,0
388547,69938,7770,466255,0,0,0,0
296854,53433,5937,356224,0,0,0,0
476834,85830,9536,572200,0,1,0,0
248626,44752,4972,298350,0,0,3,1
287189,51694,5743,344626,0,1,1,0
149159,26848,2983,178990,0,0,0,0
395023,71104,7900,474027,0,1,1,0
169807,30565,3396,203768,0,1,0,0
467106,84079,9342,560527,0,0,0,0
117809,21205,2356,141370,0,0,2,1
142102,25578,2842,170522,0,0,0,0
303907,54703,6078,364688,0,0,0,0
339833,61169,6796,407798,0,0,0,0
355764,64037,7115,426916,0,0,0,0
120215,21638,2404,144257,0,1,0,1
256832,46229,5136,308197,0,0,0,0
377796,68003,7555,453354,0,1,0,1
147304,26514,2946,176764,0,1,0,0
258374,46507,5167,310048,0,0,1,1
126313,22736,2526,218262,66687,0,0,1
393911,70903,7878,472692,0,0,0,0
463159,83368,9263,555790,0,1,0,0
491173,88411,9823,589407,0,1,2,1
173877,31297,3477,208651,0,0,0,0
429309,77275,8586,515170,0,0,2,1
102868,18516,2057,123441,0,0,0,0
353581,63644,7071,424296,0,1,0,0
422854,76113,8457,507424,0,1,0,1
265348,47762,5306,318416,0,0,0,0
265357,47764,5307,334681,16253,0,0,1
480483,86486,9609,576578,0,0,0,0
425276,76549,8505,510330,0,0,0,0
187203,33696,3744,224643,0,0,0,0
239489,43108,4789,287386,0,0,0,0
416201,74916,8324,499441,0,0,0,0
39509,7111,790,47410,0,1,0,0
155055,27909,3101,186065,0,0,0,0
190251,34245,3805,228301,0,0,1,1
361353,65043,7227,433623,0,1,0,0
195308,35155,3906,234369,0,0,1,0
15925,2866,318,19109,0,0,0,0
327265,58907,6545,392717,0,0,0,0
429266,77267,8585,515118,0,0,1,1
330720,59529,6614,396863,0,1,0,0
465473,83785,9309,558567,0,0,0,0
199141,35845,3982,238968,0,0,2,1
401537,72276,8030,481843,0,0,1,0
485069,87312,9701,582082,0,0,0,0
335529,60395,6710,458973,56339,1,0,1
296676,53401,5933,356010,0,0,0,0
396716,71408,7934,559257,83199,0,0,1
410227,73840,8204,492271,0,0,2,1
338525,60934,6770,406229,0,0,3,1
66095,11897,1321,79313,0,0,0,0
250377,45067,5007,300451,0,0,0,0
468705,84366,9374,562445,0,0,0,0
425516,76592,8510,510618,0,0,0,0
277197,49895,5543,332635,0,0,0,0
407643,73375,8152,489170,0,1,1,0
74746,13454,1494,89694,0,0,0,0
24415,4394,488,29297,0,0,0,0
207739,37393,4154,249286,0,0,2,1
390728,70331,7814,468873,0,1,0,0
326380,58748,6527,391655,0,1,0,1
461399,83051,9227,553677,0,0,3,1
420689,75724,8413,504826,0,0,1,0
150068,27012,3001,180081,0,0,0,0
395489,71188,7909,474586,0,1,0,1
341346,61442,6826,409614,0,0,0,0
225575,40603,4511,270689,0,0,0,0
344762,62057,6895,413714,0,0,1,0
201729,36311,4034,242074,0,0,0,0
70540,12697,1410,84647,0,1,0,1
117034,21066,2340,140440,0,0,1,0
266569,47982,5331,319882,0,1,0,0
369947,66590,7398,443935,0,1,2,1
330218,59439,6604,396261,0,1,0,1
165788,29841,3315,198944,0,0,1,0
118939,21409,2378,142726,0,0,1,0
298258,53686,5965,357909,0,1,0,1
443336,79800,8866,532002,0,0,0,0
166234,29922,3324,199480,0,1,0,0
425574,76603,8511,510688,0,0,0,0
386839,69631,7736,464206,0,0,1,0
170382,30668,3407,204457,0,0,0,0
136542,24577,2730,163849,0,0,1,0
350125,63022,7002,420149,0,0,1,0
296979,53456,5939,356374,0,0,0,0
388616,69950,7772,466338,0,1,1,1
297736,53592,5954,421736,64454,0,0,1
82174,14791,1643,98608,0,1,0,0
173623,31252,3472,208347,0,0,0,0
201154,36207,4023,247710,6326,1,0,1
149232,26861,2984,179077,0,1,2,1
97818,17607,1956,147607,30226,1,0,1
115973,20875,2319,139167,0,0,0,0
365653,65817,7313,438783,0,0,0,0
209720,37749,4194,251663,0,0,3,1
155464,27983,3109,186556,0,0,0,0
349617,62931,6992,484504,64964,0,0,1
279207,50257,5584,335048,0,1,2,1
459174,82651,9183,551008,0,0,1,0
355473,63985,7109,426567,0,1,0,1
479174,86251,9583,575008,0,1,0,0
470132,84623,9402,564157,0,0,0,0
111013,19982,2220,133215,0,1,0,1
479009,86221,9580,574810,0,0,0,0
492856,88714,9857,591427,0,0,1,0
423338,76200,8466,508004,0,1,0,0
410933,73967,8218,493118,0,1,1,0
68743,12373,1374,82490,0,1,0,1
39578,7124,791,47493,0,0,0,0
241783,43520,4835,290138,0,1,0,1
327020,58863,6540,392423,0,0,2,1
341989,61558,6839,410386,0,0,1,0
59171,10650,1183,71004,0,0,0,0
339102,61038,6782,406922,0,0,0,0
248947,44810,4978,298735,0,0,0,0
369065,66431,7381,488414,45537,1,0,1
405220,72939,8104,486263,0,0,0,0
273697,49265,5473,328435,0,0,1,0
20294,3652,405,24351,0,0,0,0
230610,41509,4612,276731,0,0,0,0
443801,79884,8876,532561,0,0,0,0
396890,71440,7937,476267,0,0,0,0
206727,37210,4134,248071,0,0,0,0
496596,89387,9931,595914,0,0,0,0
320034,57606,6400,384040,0,0,2,1
136695,24605,2733,164033,0,1,1,0
310419,55875,6208,372502,0,0,0,0
88452,15921,1769,106142,0,0,1,0
13864,2495,277,16636,0,1,0,0
399246,71864,7984,479094,0,0,0,0
404850,72873,8097,566699,80879,1,0,1
47669,8580,953,57202,0,0,0,0
453560,81640,9071,544271,0,1,0,0
329280,59270,6585,395135,0,0,1,0
281661,50698,5633,337992,0,0,1,0
41664,7499,833,49996,0,0,0,0
273416,49214,5468,328098,0,1,0,0
372644,67075,7452,487713,40542,0,0,1
87678,15782,1753,105213,0,0,0,0
323597,58247,6471,388315,0,0,1,0
110549,19898,2210,132657,0,0,0,0
342671,61680,6853,465592,54388,0,0,1
81279,14630,1625,97534,0,1,0,0
46121,8301,922,71053,15709,0,1,1
405875,73057,8117,487049,0,0,0,0
108246,19484,2164,129894,0,0,1,0
241560,43480,4831,289871,0,1,0,1
299833,53969,5996,359798,0,1,1,0
97117,17481,1942,116540,0,0,1,0
268098,48257,5361,321716,0,0,1,0
110802,19944,2216,211445,78483,0,0,1
227648,40976,4552,273176,0,1,1,1
316904,57042,6338,410695,30411,1,0,1
246252,44325,4925,295502,0,0,0,0
183408,33013,3668,220089,0,0,0,0
491599,88487,9831,589917,0,0,1,0
313333,56399,6266,375998,0,0,1,0
187135,33684,3742,224561,0,1,1,1
153401,27612,3068,184081,0,0,1,0
445553,80199,8911,534663,0,1,0,0
237826,42808,4756,285390,0,0,1,0
419487,75507,8389,503383,0,0,0,0
325452,58581,6509,390542,0,1,0,0
461006,82981,9220,553207,0,0,0,0
428416,77114,8568,514098,0,0,0,0
259861,46774,5197,311832,0,1,1,1
316018,56883,6320,379221,0,0,0,0
341011,61381,6820,409212,0,1,3,1
199067,35832,3981,238880,0,0,1,0
336635,60594,6732,403961,0,0,0,0
19765,3557,395,42279,18562,0,0,1
434663,78239,8693,546346,24751,0,0,1
25943,4669,518,31130,0,0,1,0
472798,85103,9455,567356,0,0,0,0
129691,23344,2593,155628,0,0,0,0
36765,6617,735,44117,0,0,0,0
169959,30592,3399,203950,0,0,1,0
307016,55262,6140,368418,0,0,0,0
410602,73908,8212,492722,0,0,0,0
395362,71165,7907,474434,0,0,0,0
26879,4838,537,106787,74533,0,0,1
73997,13319,1479,88795,0,0,1,0
40508,7291,810,48609,0,1,1,0
159035,28626,3180,206957,16116,0,0,1
376061,67690,7521,451272,0,0,0,0
378230,68081,7564,453875,0,1,0,1
293032,52745,5860,351637,0,0,0,0
453512,81632,9070,544214,0,1,0,1
62720,11289,1254,75263,0,0,1,0
360297,64853,7205,432355,0,1,0,0
257907,46423,5158,309488,0,1,0,0
276692,49804,5533,332029,0,0,0,0
262517,47253,5250,394424,79404,1,0,1
390092,70216,7801,468109,0,0,3,1
399744,71953,7994,479691,0,0,0,0
395155,71127,7903,474185,0,0,0,0
38182,6872,763,45817,0,1,3,1
417152,75087,8343,509708,9126,0,0,1
62321,11217,1246,74784,0,1,0,1
187938,33828,3758,313068,87544,0,0,1
295036,53106,5900,354042,0,0,1,1
144028,25925,2880,272191,99358,0,0,1
266168,47910,5323,319401,0,0,0,0
189269,34068,3785,227122,0,0,0,0
233048,41948,4660,279656,0,0,0,0
139008,25021,2780,166809,0,0,3,1
390451,70281,7809,468541,0,0,2,1
191026,34384,3820,229230,0,0,0,0
323786,58281,6475,388542,0,0,0,0
373575,67243,7471,448289,0,0,0,0
476072,85692,9521,571285,0,1,0,1
319693,57544,6393,383630,0,0,1,0
289391,52090,5787,347268,0,0,0,0
167044,30067,3340,200451,0,0,1,1
231294,41632,4625,345962,68411,0,0,1
125512,22592,2510,150614,0,0,0,0
329933,59387,6598,484938,89020,0,0,1
205429,36977,4108,305685,59171,0,0,1
484161,87148,9683,580992,0,0,0,0
222363,40025,4447,266835,0,1,0,1
81793,14722,1635,98150,0,0,0,0
30077,5413,601,36091,0,0,1,0
236052,42489,4721,283262,0,0,0,0
470659,84718,9413,564790,0,0,1,0
407588,73365,8151,489104,0,0,0,0
171921,30945,3438,206304,0,1,0,1
484691,87244,9693,581628,0,1,0,1
360625,64912,7212,432749,0,1,0,1
220202,39636,4404,264242,0,0,0,0
303099,54557,6061,363717,0,0,0,0
67322,12117,1346,80785,0,0,1,1
106033,19085,2120,127238,0,1,1,0
463822,83487,9276,556585,0,0,1,0
489626,88132,9792,587550,0,0,0,0
276278,49730,5525,331533,0,0,0,0
247449,44540,4948,296937,0,0,0,0
324079,58334,6481,388894,0,1,0,1
142244,25603,2844,170691,0,0,1,0
350273,63049,7005,420327,0,0,3,1
33909,6103,678,40690,0,0,0,0
495996,89279,9919,595194,0,0,3,1
141085,25395,2821,241609,72308,0,0,1
205323,36958,4106,246387,0,0,0,0
170804,30744,3416,204964,0,0,3,1
371256,66826,7425,445507,0,0,1,1
200569,36102,4011,240682,0,1,0,0
364985,65697,7299,437981,0,1,0,1
498920,89805,9978,598703,0,0,0,0
317254,57105,6345,380704,0,1,0,0
145283,26150,2905,174338,0,0,0,0
23233,4181,464,27878,0,1,0,0
25350,4563,507,30420,0,0,1,0
295075,53113,5901,354089,0,1,1,0
35087,6315,701,42103,0,0,3,1
80722,14529,1614,96865,0,0,0,0
256013,46082,5120,307215,0,1,0,1
204144,36745,4082,244971,0,0,0,0
266633,47993,5332,319958,0,1,0,0
293955,52911,5879,352745,0,1,0,1
246112,44300,4922,295334,0,0,1,1
338819,60987,6776,406582,0,0,0,0
232028,41765,4640,278433,0,1,1,0
154832,27869,3096,185797,0,0,0,0
95992,17278,1919,186774,71585,0,1,1
263865,47495,5277,316637,0,1,1,1
165178,29732,3303,198213,0,0,0,0
372058,66970,7441,446469,0,0,0,0
499924,89986,9998,599908,0,1,0,0
494513,89012,9890,593415,0,0,1,0
319867,57576,6397,383840,0,1,0,0
64510,11611,1290,77411,0,0,0,0
396073,71293,7921,475287,0,0,0,0
214724,38650,4294,257668,0,1,0,0
323248,58184,6464,387896,0,0,0,0
253894,45700,5077,304671,0,0,1,0
419991,75598,8399,503988,0,1,1,0
104035,18726,2080,124841,0,0,0,0
80241,14443,1604,96288,0,0,0,0
227341,40921,4546,272808,0,1,0,0
459669,82740,9193,551602,0,0,0,0
140266,25247,2805,168318,0,0,0,0
110708,19927,2214,132849,0,1,0,0
484942,87289,9698,581929,0,1,0,0
415882,74858,8317,499057,0,0,0,0
17658,3178,353,40955,19766,1,0,1
107672,19380,2153,129205,0,1,0,1
42784,7701,855,51340,0,1,1,0
345875,62257,6917,415049,0,0,0,0
327790,59002,6555,393347,0,1,0,0
199905,35982,3998,239885,0,0,0,0
215082,38714,4301,258097,0,1,0,0
194584,35025,3891,233500,0,0,0,0
212358,38224,4247,254829,0,1,1,1
18880,3398,377,22655,0,0,1,1
82051,14769,1641,136811,38350,0,0,1
35956,6472,719,133082,89935,1,0,1
480392,86470,9607,576469,0,0,0,0
49642,8935,992,59569,0,0,0,0
400479,72086,8009,480574,0,1,3,1
181837,32730,3636,218203,0,0,0,0
257036,46266,5140,308442,0,1,0,1
33625,6052,672,55783,15434,0,0,1
260104,46818,5202,312124,0,1,0,0
392931,70727,7858,471516,0,0,0,0
448935,80808,8978,538721,0,0,0,0
490130,88223,9802,588155,0,0,0,0
266852,48033,5337,320222,0,1,0,0
388107,69859,7762,465728,0,0,0,0
360080,64814,7201,432095,0,1,0,1
421813,75926,8436,506175,0,0,2,1
300783,54140,6015,360938,0,1,0,1
435067,78312,8701,522080,0,0,1,0
215492,38788,4309,258589,0,0,0,0
464998,83699,9299,557996,0,1,2,1
231791,41722,4635,278148,0,0,1,1
289918,52185,5798,347901,0,0,1,0
264622,47631,5292,317545,0,0,0,0
60561,10900,1211,143899,71227,0,1,1
129594,23326,2591,155511,0,0,0,0
413683,74462,8273,496418,0,0,2,1
93957,16912,1879,112748,0,0,0,0
255763,46037,5115,306915,0,0,0,0
46288,8331,925,55544,0,0,0,0
51121,9201,1022,97068,35724,0,1,1
290757,52336,5815,348908,0,0,0,0
17784,3201,355,21340,0,0,0,0
17520,3153,350,21023,0,0,0,0
354249,63764,7084,425097,0,0,1,1
321823,57928,6436,386187,0,1,0,0
308490,55528,6169,410731,40544,0,1,1
143581,25844,2871,172296,0,0,1,0
430725,77530,8614,516869,0,0,1,0
276742,49813,5534,332089,0,0,0,0
19120,3441,382,22943,0,1,0,1
283680,51062,5673,340415,0,0,0,0
403282,72590,8065,545456,61519,0,0,1
425692,76624,8513,510829,0,1,0,0
185745,33434,3714,222893,0,1,3,1
107669,19380,2153,129202,0,0,0,0
31154,5607,623,37384,0,0,0,0
208274,37489,4165,249928,0,0,0,0
253270,45588,5065,303923,0,0,0,0
223280,40190,4465,267935,0,0,0,0
177902,32022,3558,213482,0,1,0,1
140526,25294,2810,168630,0,0,0,0
253414,45614,5068,394427,90331,0,1,1
469525,84514,9390,563429,0,0,0,0
322658,58078,6453,387189,0,1,0,0
96221,17319,1924,115464,0,0,0,0
397460,71542,7949,476951,0,0,1,0
71718,12909,1434,86061,0,0,1,0
207724,37390,4154,249268,0,1,1,1
118807,21385,2376,151222,8654,0,1,1
207901,37422,4158,249481,0,0,1,0
363669,65460,7273,445184,8782,0,1,1
439105,79038,8782,526925,0,0,0,0
381772,68718,7635,458125,0,1,0,0
131104,23598,2622,157324,0,0,0,0
92843,16711,1856,111410,0,0,2,1
185548,33398,3710,222656,0,0,1,0
94707,17047,1894,113648,0,0,0,0
447000,80460,8940,536400,0,0,0,0
153357,27604,3067,184028,0,0,1,0
323438,58218,6468,388124,0,0,2,1
465981,83876,9319,559176,0,0,1,0
210008,37801,4200,252009,0,0,1,0
450143,81025,9002,609985,69815,1,0,1
312285,56211,6245,374741,0,1,1,0
421250,75825,8425,505500,0,0,3,1
252390,45430,5047,346634,43767,0,0,1
420844,75751,8416,505011,0,0,0,0
445060,80110,8901,534071,0,0,0,0
461406,83053,9228,553687,0,0,0,0
180098,32417,3601,216116,0,1,0,0
157899,28421,3157,189477,0,0,0,0
20115,3620,402,24137,0,0,0,0
399212,71858,7984,479054,0,0,1,0
392678,70682,7853,471213,0,0,1,0
195409,35173,3908,234490,0,0,3,1
381445,68660,7628,457733,0,1,0,0
363318,65397,7266,435981,0,0,0,0
205077,36913,4101,246091,0,0,0,0
95048,17108,1900,114056,0,0,3,1
63615,11450,1272,76337,0,0,3,1
76863,13835,1537,92235,0,0,0,0
159621,28731,3192,191544,0,0,0,0
405049,72908,8100,486057,0,0,1,0
20277,3649,405,24331,0,0,0,0
31310,5635,626,37571,0,1,0,0
294753,53055,5895,353703,0,1,0,0
210683,37922,4213,252818,0,1,1,0
352977,63535,7059,423571,0,1,0,0
420742,75733,8414,504889,0,0,1,0
480578,86504,9611,576693,0,1,0,0
326246,58724,6524,391494,0,0,0,0
213991,38518,4279,256788,0,1,0,1
58362,10505,1167,70034,0,0,1,0
86876,15637,1737,112457,8207,0,0,1
30161,5428,603,36192,0,0,3,1
365225,65740,7304,438269,0,1,0,0
63664,11459,1273,76396,0,0,0,0
279847,50372,5596,335815,0,0,1,0
90155,16227,1803,108185,0,0,1,0
193794,34882,3875,232551,0,1,0,0
